"Gene","Direction","Count","Files"
"FBXO22","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FDX1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FEM1B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FGD6","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FGF2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FKBP14","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FNBP4","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FNIP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FOS","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FOSL1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FOXJ3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FOXN2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"FUS","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"G6PC3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GADD45GIP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GAS2L3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GATA3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GATAD1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GCLM","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GLMN","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GLOD4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GLRX5","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GNB2L1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPATCH4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPATCH8","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPBP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPRC5A","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPRC5B","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GPX4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GTF2H1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GTF3A","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"GTPBP8","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"H2AFV","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HERC2P3","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HERC6","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HIF1AN","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HIST1H2BD","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HIST1H4B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HIST2H2AC","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HMGA2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HMGB1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HMMR","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HPS6","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HS2ST1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSD17B7P2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSD3B7","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSPA14","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSPA1A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSPA1B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSPA6","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HSPBAP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"HYPK","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IBTK","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ICT1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IER3IP1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IFNB1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IFT20","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IFT57","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IGF2BP2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IGF2R","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IGFBP6","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IL22RA1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IL29","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"IPO13","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ITGAM","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ITGB4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"ITPA","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"JAGN1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"JOSD2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KANSL1L","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KARS","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KAT6A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KAT7","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KBTBD2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KCTD11","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KDM2A","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KDM3B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KDM6B","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA0020","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA0753","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA0754","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA1430","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA1467","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIAA1524","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIF3C","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KIFC3","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KLF10","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KLHDC5","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KLHL12","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KLHL15","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KLHL22","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"KPNA4","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LAMTOR1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LAMTOR2","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LATS2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LCORL","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LEO1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LEPREL4","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LIMD1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LIN37","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LMAN2L","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LNX2","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC100271836","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC100288069","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC100505817","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC150381","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC388796","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC439949","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC728407","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LOC731275","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LRRC37A4P","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LRRC37BP1","DOWN",1,"NS5+IFNB1_vs_GFP+IFNB1"
"LSMD1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
"MAD2L1","UP",1,"NS5+IFNB1_vs_GFP+IFNB1"
