"","ex1_GFP_Rep2_Chip20","ex1_GFP_IFNB1_Rep1_Chip20","ex1_GFP_IFNB1_Rep2_Chip20","ex1_NS5_Rep1_Chip20","ex1_NS5_Rep2_Chip20","ex1_NS5_INFNB1_Rep1_Chip20","ex1_NS5_INFNB1_Rep2_Chip20","ex1_GFP_Rep1_Chip21","ex1_GFP_Rep2_Chip21","ex1_GFP_IFNB1_Rep1_Chip21","ex1_NS5_Rep1_Chip21","ex1_NS5_Rep2_Chip21","ex1_NS5_INFNB1_Rep1_Chip21","ex1_NS5_INFNB1_Rep2_Chip21"
"ZNF765",4.59051054448913,4.60929679828734,4.63080936983039,4.54685726694297,4.41675320378762,4.58683713192052,4.43776507324707,4.03581749865114,3.99461859240264,4.26568401338473,4.51388263337788,4.30161353957171,3.67129408087836,4.00270823809699
"ZNF766",5.1545163525301,5.35854253147735,5.43152289745001,5.38307150935199,5.22570287967049,5.3161585984331,5.068245570563,5.21421642280654,5.08579165462001,4.93047471426941,5.34635153140267,5.09711529670368,5.17020552804175,5.16673915780207
"ZNF767",3.03528722692277,3.06233168682684,2.68483762539138,2.46656540221786,2.72904626800673,2.35010614779223,2.22232036252238,2.35764490535285,1.97647928582625,2.75308049004115,2.4281575812127,2.50705711513058,2.62626276419999,2.62626276419999
"ZNF768",4.47453434146086,4.63348776474908,4.9431951891435,4.76933836544656,4.46794408777918,4.29691656789024,4.43209290509432,4.94994213227889,4.52813978574929,4.32143099475026,4.68146003986761,4.66853303353638,4.56949800689983,4.41173476590082
"ZNF77",4.32478872677148,4.34549915888094,4.17475054909677,4.08429174719724,4.39556469148701,4.07746149283967,4.02288262066472,3.97918083778347,3.53861658668814,3.91929749626818,4.00426177743749,2.72683499656506,4.43209290509432,1.88997180726516
"ZNF772",1.83102099748651,1.5619699470945,2.13943869961447,1.08601957010517,1.24535872255899,1.70778621029694,0.830153215896245,2.15869593981069,0.787673642084884,1.06198676412154,2.23811668887148,2.00543131472581,2.22232036252238,1.02529779592448
"ZNF773",2.88438334390432,3.08930422486012,3.0843212684382,2.40415276812539,2.83616132483281,2.71861647888192,3.05309903111125,2.15869593981069,2.53831546185955,3.12218050392321,2.33520241372137,2.86018632819639,2.44228617394249,2.39378953557186
"ZNF774",1.19624456330662,1.93854707146243,1.85093261974628,1.2307133278848,1.81626511696717,1.12052380182476,1.69451969955565,2.25133563872504,1.81626511696717,2.02466964832479,1.67122042314245,1.3026446713492,0.918452426977994,1.21702768107529
"ZNF775",2.74710334884666,2.59243855712463,2.7774219536434,2.79684881896983,2.79416872995611,2.23811668887148,3.23270714802905,2.94061357208154,2.8178455889955,2.44013728380835,3.02033359917188,2.33277264909417,2.33520241372137,2.62626276419999
"ZNF776",5.45146000921503,5.63080765955781,5.36673274901634,5.18827501827398,5.46176778721073,5.53765772651224,5.36840670170254,5.24200268189205,4.99630491987729,5.43921408323615,5.12517748380989,4.84512485050641,5.06650395066056,5.09385514727449
"ZNF777",5.0220676590801,5.33259833979967,5.00378218926616,4.7915852443111,4.70298602301736,4.77410154854652,4.60533437864556,4.70298602301736,4.50179447803795,4.80363745299883,4.35306010014194,4.80761193686428,4.69198054638114,4.36990766162347
"ZNF778",1.79536210808092,1.67871977406521,1.51811600322338,2.33277264909417,1.67497970099358,1.65955230631794,2.07955545779138,1.55394984754265,1.65955230631794,2.81691518511614,2.12845177644973,1.6515546698727,1.99461740626531,2.10733084074487
"ZNF780A",6.0066483466415,6.0322694507202,5.91023437592085,6.06258428619829,5.89338426809512,5.9322648697418,5.83475793524965,5.59561976241422,5.75777682594416,5.77150593109263,5.61255389171607,5.95380842306623,5.66515734246726,5.54247923434535
"ZNF780B",4.18120796386508,4.07820110417173,4.06215416193992,4.25530964928181,4.36496270733123,4.21287131992415,4.03876279267364,3.8872430235841,3.6867053363586,4.19422115214496,3.89441479253697,3.95352672782241,4.06654398129446,3.94942075595614
"ZNF782",2.65785513196433,2.98191667129266,2.86018632819639,2.40415276812539,2.52211162853995,2.53133012882572,2.58185509874811,2.94061357208154,2.63502875119914,2.81691518511614,2.01866796606191,2.12274276169619,1.69451969955565,1.50927010433163
