"","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21"
"MAP3K3",2.696218,3.080922,3.264204,3.22511,3.63186,3.461304,3.20744,3.041111
"MAP3K4",2.083788,1.487746,1.078642,0.5353354,1.039824,1.755367,0.9757365,1.101197
"MAP3K5",2.875747,3.080922,3.961858,3.356378,3.344444,3.19832,3.321504,3.419833
"MAP3K6",2.35009,1.681843,2.870051,2.689006,2.526594,2.169916,1.719667,1.707306
"MAP3K7",2.533553,2.989329,2.630042,1.839194,2.232682,2.656804,2.984262,2.770041
"MAP3K9",4.215173,4.158288,4.290239,4.486815,4.409048,4.701366,3.552718,4.127663
"MAP4",6.768195,6.538646,6.355982,6.288999,6.585494,6.531598,5.864981,5.730114
"MAP4K2",2.533553,2.864354,2.727015,2.187849,2.689006,0.9653138,2.014056,1.60172
"MAP4K3",6.327921,6.230513,6.552212,6.409602,6.531128,6.34251,6.278091,6.376786
"MAP4K4",4.101387,4.322672,4.086777,3.746928,3.545656,3.907847,3.244945,3.19832
"MAP4K5",4.796794,4.434201,4.33917,4.272012,4.914155,5.206857,5.142635,5.288659
"MAP6D1",1.574316,0.8199272,1.211855,1.101197,1.348786,1.755367,1.473778,1.907858
"MAP7",8.214995,8.104656,8.245919,8.340382,8.44297,8.642481,7.077604,8.020246
"MAP7D1",6.281015,6.219498,6.126268,6.134496,6.267714,5.955894,6.621093,6.491207
"MAP7D2",3.430815,3.157382,2.870051,3.26021,2.984262,3.32357,3.417901,2.989329
"MAP7D3",3.430815,4.383526,3.618422,2.938954,3.606602,3.87965,3.792663,3.454154
"MAP9",3.703481,4.302873,2.989329,3.025663,3.545656,3.461304,3.124043,3.19832
"MAPK1",5.061775,5.16124,5.068596,4.927867,4.925123,5.008651,4.355481,4.986645
"MAPK11",2.283327,1.875408,1.794327,1.839194,2.094098,2.103765,1.60172,2.014056
"MAPK12",3.491282,3.294473,3.516924,3.77467,3.487607,3.32357,3.768489,3.654801
"MAPK14",4.612444,4.624279,4.355481,4.449478,4.254722,3.988288,3.961858,4.649186
"MAPK1IP1L",7.961004,7.942727,8.199223,8.244924,8.13371,8.140369,8.395625,8.403112
"MAPK3",4.664109,4.52158,4.322672,3.826554,4.799729,4.432128,4.10619,4.031914
"MAPK6",7.239553,7.30637,6.996216,7.251213,7.232245,7.250287,7.087911,7.308705
"MAPK7",4.215173,3.58746,4.197184,4.001316,4.274324,3.87965,3.388456,3.624881
"MAPK8IP1",3.753593,3.264204,3.025663,3.48397,3.10505,3.124043,3.124043,3.516924
"MAPK8IP2",2.014056,2.413885,3.545656,3.940383,3.412179,3.461304,3.516924,3.718887
"MAPK8IP3",4.5971,4.059667,4.434201,4.696479,4.351355,4.514562,4.232941,3.580751
"MAPK9",6.364494,6.466576,5.867817,5.827562,6.146561,6.446974,6.206644,6.071123
"MAPKAP1",3.85391,3.997548,3.025663,2.589845,3.443046,3.461304,3.244945,2.644015
"MAPKAPK2",6.249603,6.30818,6.06246,5.836996,6.04563,5.941135,5.536649,5.690067
"MAPKAPK5",5.964515,6.225332,5.867817,5.836996,5.935074,5.734061,6.293997,6.358523
"MAPKBP1",2.160163,2.014056,2.958022,2.03397,2.283327,2.436422,1.60172,2.589845
"MAPRE1",7.548394,7.555214,7.247568,7.230724,7.338349,7.430962,7.577163,7.398873
"MAPRE2",2.474965,2.014056,0.9133357,1.24843,2.094098,2.103765,1.719667,1.211855
"MAPRE3",3.19832,2.829737,2.467726,2.746592,3.277524,3.124043,2.413885,2.644015
"MARC2",3.875384,4.13957,3.461304,3.541948,3.606602,3.461304,4.197184,4.178967
"MARCH2",4.449478,4.464594,3.77467,3.940383,5.090093,4.747508,3.703481,4.322672
"MARCH3",1.45808,2.094098,0.6976501,1.377645,1.574316,1.862527,2.014056,1.60172
"MARCH4",3.83096,4.195009,4.607434,4.486815,4.5971,4.530806,3.648044,3.654801
"MARCH5",5.960541,6.1289,6.074777,6.037155,5.836996,6.05063,6.383539,6.167674
"MARCH6",6.815958,6.790673,6.629268,6.654604,6.466354,6.695474,6.55067,6.513206
"MARCH7",5.993348,5.94146,6.176041,5.992724,5.920408,6.04563,6.409113,6.40213
"MARCH8",3.516924,3.93234,3.363968,3.725432,3.677756,4.049632,3.874061,3.315395
"MARCH9",2.968427,2.864354,2.958022,2.533553,2.583145,2.609871,2.474965,2.946847
"MARCKS",4.691725,4.33917,4.763608,4.760649,4.492451,4.33917,3.896446,3.915966
"MARCKSL1",4.821916,4.812341,4.752129,4.624279,4.479554,4.355481,4.049632,4.197184
"MARK2",5.920078,5.723802,6.116723,6.232158,5.818732,5.644034,5.273743,5.482981
"MARK2P9",0.9548911,1.487746,0.9133357,1.839194,1.211855,1.862527,0.6976501,0.9133357
"MARK3",4.158288,4.322672,3.77467,3.618422,3.980426,4.410971,4.903102,4.305983
"MARK4",3.654801,3.700096,3.516924,3.454154,3.725432,3.573825,2.824086,3.157382
"MARS",7.382133,7.227848,7.176543,7.266199,7.273492,7.71795,7.188373,6.898639
"MARS2",3.368234,2.946847,3.825191,3.79874,3.412179,3.19832,3.734734,3.268949
"MARVELD1",5.201261,5.247794,5.001009,5.003527,4.718796,4.926483,5.344866,5.570127
"MARVELD2",3.234068,3.538241,3.487607,3.11966,3.344444,3.573825,3.244945,3.11966
"MAST2",4.859579,5.032979,5.292865,5.276952,4.995786,5.080892,4.654175,4.178967
"MAST3",2.533553,2.474965,2.35009,2.467726,2.014056,1.940114,1.348786,2.266807
"MAST4",3.461304,3.327394,3.79874,4.365541,3.819532,3.430815,3.354401,3.19832
"MASTL",5.570127,5.489439,7.026844,6.933481,6.24257,6.135929,6.955342,6.982023
"MAT2A",8.205187,8.283658,8.58666,8.677402,8.519385,8.187816,8.570695,8.531484
